Fiscal Week,MyWay,MyWay %,Paper Ticket,Paper Ticket %,Total
01/07/2014,"168,792",0.8666043722468091,"25,982",0.1333956277531909,"194,774"
07/07/2014,"160,789",0.8479895787186466,"28,823",0.1520104212813535,"189,612"
14/07/2014,"164,407",0.8470003348703021,"29,698",0.15299966512969784,"194,105"
21/07/2014,"253,767",0.8800719963377586,"34,581",0.11992800366224146,"288,348"
28/07/2014,"255,553",0.8849217067309357,"33,233",0.11507829326906428,"288,786"
04/08/2014,"257,387",0.8848745504926532,"33,487",0.11512544950734682,"290,874"
11/08/2014,"251,260",0.8847775027202525,"32,721",0.1152224972797476,"283,981"
18/08/2014,"258,418",0.8872781959017745,"32,830",0.11272180409822556,"291,248"
25/08/2014,"255,843",0.8879645151549859,"32,280",0.1120354848450141,"288,123"
01/09/2014,"250,339",0.8883128588359698,"31,475",0.11168714116403018,"281,814"
08/09/2014,"246,161",0.8844467918454164,"32,161",0.11555320815458354,"278,322"
15/09/2014,"249,188",0.8822937910718333,"33,244",0.11770620892816679,"282,432"
22/09/2014,"254,111",0.8750228129680963,"36,294",0.12497718703190372,"290,405"
29/09/2014,"159,249",0.8456342695107769,"29,070",0.15436573048922309,"188,319"
06/10/2014,"165,097",0.8555622923889329,"27,872",0.14443770761106706,"192,969"
13/10/2014,"259,052",0.8876386014446074,"32,792",0.11236139855539261,"291,844"
20/10/2014,"262,227",0.886821805047803,"33,466",0.11317819495219704,"295,693"
27/10/2014,"262,613",0.8888697088469636,"32,833",0.11113029115303642,"295,446"
03/11/2014,"256,363",0.887453050627434,"32,512",0.11254694937256599,"288,875"
10/11/2014,"254,162",0.8848080598500963,"33,089",0.11519194014990375,"287,251"
17/11/2014,"254,683",0.8818174893357709,"34,133",0.11818251066422913,"288,816"
24/11/2014,"242,510",0.8809063698709753,"32,786",0.11909363012902476,"275,296"
01/12/2014,"232,947",0.8743075260099986,"33,489",0.12569247399000136,"266,436"
08/12/2014,"213,436",0.866062878382107,"33,008",0.1339371216178929,"246,444"
15/12/2014,"185,028",0.8517921757464714,"32,194",0.14820782425352866,"217,222"
22/12/2014,"79,986",0.8187904348538203,"17,702",0.18120956514617967,"97,688"
29/12/2014,"62,808",0.7716160102213814,"18,590",0.22838398977861865,"81,398"
05/01/2015,"140,584",0.8513483234522894,"24,547",0.1486516765477106,"165,131"
12/01/2015,"160,070",0.8548327663642238,"27,183",0.1451672336357762,"187,253"
19/01/2015,"162,860",0.8552134095110066,"27,572",0.14478659048899345,"190,432"
26/01/2015,"142,300",0.8539930024185466,"24,329",0.1460069975814534,"166,629"
02/02/2015,"241,869",0.8794181061908934,"33,164",0.12058189380910654,"275,033"
09/02/2015,"274,609",0.8767792031979361,"38,593",0.12322079680206384,"313,202"
16/02/2015,"277,055",0.8915687851971038,"33,695",0.10843121480289622,"310,750"
23/02/2015,"286,548",0.8910240862702662,"35,046",0.10897591372973377,"321,594"
02/03/2015,"276,362",0.893210473072336,"33,041",0.10678952692766391,"309,403"
09/03/2015,"239,088",0.8875294187522736,"30,298",0.11247058124772631,"269,386"
16/03/2015,"279,559",0.8976796907110564,"31,865",0.10232030928894369,"311,424"
23/03/2015,"278,020",0.898583701252109,"31,378",0.10141629874789107,"309,398"
30/03/2015,"220,488",0.8923568812352025,"26,597",0.10764311876479754,"247,085"
06/04/2015,"208,006",0.8816204394412044,"27,930",0.1183795605587956,"235,936"
13/04/2015,"183,107",0.8696810658054098,"27,438",0.13031893419459023,"210,545"
20/04/2015,"185,665",0.8703182862232223,"27,665",0.12968171377677776,"213,330"
27/04/2015,"222,398",0.8884831730000958,"27,914",0.11151682699990412,"250,312"
04/05/2015,"268,341",0.8948547875586502,"31,530",0.10514521244134978,"299,871"
11/05/2015,"268,639",0.8979986829481904,"30,514",0.1020013170518096,"299,153"
18/05/2015,"264,629",0.8980764401246174,"30,033",0.10192355987538264,"294,662"
25/05/2015,"264,542",0.9006482275878035,"29,182",0.09935177241219649,"293,724"
01/06/2015,"254,434",0.8991299677006693,"28,544",0.10087003229933068,"282,978"
08/06/2015,"216,925",0.8949014236739947,"25,476",0.10509857632600525,"242,401"
15/06/2015,"245,781",0.898059777842736,"27,899",0.10194022215726396,"273,680"
22/06/2015,"240,213",0.8955152102594691,"28,027",0.10448478974053087,"268,240"
29/06/2015,"81,096",0.9011968395434896,"8,891",0.09880316045651039,"89,987"
01/07/2015,"132,598",0.8823396326856534,"17,682",0.11766036731434655,"150,280"
06/07/2015,"164,804",0.869531266487981,"24,728",0.13046873351201907,"189,532"
13/07/2015,"170,161",0.8661708712560829,"26,291",0.1338291287439171,"196,452"
20/07/2015,"256,595",0.8970284915224611,"29,455",0.10297150847753889,"286,050"
27/07/2015,"264,173",0.9003636586720835,"29,234",0.09963634132791652,"293,407"
03/08/2015,"262,554",0.9030356393553136,"28,192",0.09696436064468643,"290,746"
10/08/2015,"257,484",0.8998657980820309,"28,652",0.10013420191796908,"286,136"
17/08/2015,"262,445",0.9034064700901187,"28,061",0.09659352990988138,"290,506"
24/08/2015,"259,351",0.9039959009250803,"27,543",0.09600409907491966,"286,894"
31/08/2015,"262,650",0.9047443533136068,"27,653",0.09525564668639318,"290,303"
07/09/2015,"255,369",0.898430546124916,"28,870",0.101569453875084,"284,239"
14/09/2015,"257,216",0.8941418579751658,"30,452",0.10585814202483418,"287,668"
21/09/2015,"258,787",0.8891832366109009,"32,252",0.11081676338909906,"291,039"
28/09/2015,"162,012",0.8580280586169824,"26,807",0.1419719413830176,"188,819"
05/10/2015,"163,885",0.8658657072059934,"25,388",0.13413429279400654,"189,273"
12/10/2015,"264,659",0.8975751203961202,"30,201",0.1024248796038798,"294,860"
19/10/2015,"263,720",0.8990495411342779,"29,612",0.10095045886572211,"293,332"
26/10/2015,"262,836",0.9001571977026532,"29,153",0.09984280229734682,"291,989"
02/11/2015,"255,681",0.8987345776652957,"28,809",0.1012654223347042,"284,490"
09/11/2015,"253,311",0.8997368037820692,"28,228",0.10026319621793073,"281,539"
16/11/2015,"254,623",0.8954783483328234,"29,720",0.10452165166717661,"284,343"
23/11/2015,"245,728",0.8943791924934577,"29,019",0.10562080750654239,"274,747"
30/11/2015,"238,922",0.8906293101520155,"29,340",0.10937068984798444,"268,262"
07/12/2015,"219,439",0.8815006146108669,"29,499",0.11849938538913304,"248,938"
14/12/2015,"196,723",0.8717595341705737,"28,939",0.1282404658294263,"225,662"
21/12/2015,"105,865",0.8488826166096014,"18,846",0.1511173833903986,"124,711"
28/12/2015,"55,940",0.7982875490545843,"14,135",0.20171245094541562,"70,075"
04/01/2016,"134,735",0.8559113691659732,"22,682",0.14408863083402682,"157,417"
11/01/2016,"157,169",0.8689082877693068,"23,712",0.1310917122306931,"180,881"
18/01/2016,"164,047",0.8684514230052516,"24,849",0.13154857699474842,"188,896"
25/01/2016,"137,665",0.862486999887228,"21,949",0.13751300011277207,"159,614"
01/02/2016,"245,740",0.8895404608061392,"30,515",0.11045953919386074,"276,255"
08/02/2016,"278,923",0.8857454065074214,"35,979",0.11425459349257865,"314,902"
15/02/2016,"293,277",0.9006891595570216,"32,337",0.0993108404429785,"325,614"
22/02/2016,"292,773",0.9040082010492155,"31,088",0.09599179895078444,"323,861"
29/02/2016,"288,557",0.9056348548759666,"30,067",0.09436514512403334,"318,624"
07/03/2016,"291,630",0.9064348388259831,"30,103",0.09356516117401696,"321,733"
14/03/2016,"247,565",0.9011178207046165,"27,166",0.09888217929538348,"274,731"
21/03/2016,"234,047",0.9017553728433495,"25,499",0.09824462715665046,"259,546"
28/03/2016,"237,385",0.8992094487353831,"26,608",0.10079055126461686,"263,993"
04/04/2016,"265,451",0.9008538480856292,"29,215",0.09914615191437084,"294,666"
11/04/2016,"194,901",0.8801128923007451,"26,549",0.11988710769925491,"221,450"
18/04/2016,"204,819",0.8834383613048485,"27,024",0.11656163869515146,"231,843"
25/04/2016,"238,437",0.900782017378164,"26,263",0.09921798262183604,"264,700"
02/05/2016,"281,900",0.9100123960539228,"27,876",0.08998760394607716,"309,776"
09/05/2016,"278,027",0.9112591854527339,"27,075",0.08874081454726616,"305,102"
16/05/2016,"276,788",0.910136559284749,"27,329",0.08986344071525104,"304,117"
23/05/2016,"271,118",0.9124496856615915,"26,014",0.08755031433840851,"297,132"
30/05/2016,"262,921",0.9143074734927651,"24,642",0.08569252650723494,"287,563"
06/06/2016,"261,545",0.9105768896006684,"25,685",0.08942311039933154,"287,230"
13/06/2016,"214,907",0.9021328934057031,"23,314",0.0978671065942969,"238,221"
